2024-06-17 16:26:47.030 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:11.254 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:11.308 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae4f0> is not in list
2024-06-17 16:27:11.373 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:11.398 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:11.399 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:11.457 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c37ca0> is not in list
2024-06-17 16:27:11.573 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:11.930 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:11.931 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:11.991 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7815ae80> is not in list
2024-06-17 16:27:12.053 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.077 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.078 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:12.139 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78d7d130> is not in list
2024-06-17 16:27:12.207 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.231 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.231 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:12.287 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78acf220> is not in list
2024-06-17 16:27:12.361 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.393 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.458 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73619430> is not in list
2024-06-17 16:27:12.531 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.558 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.559 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:12.618 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73619430> is not in list
2024-06-17 16:27:12.682 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.704 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.705 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:12.760 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73ed5c10> is not in list
2024-06-17 16:27:12.830 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:12.855 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:12.855 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:12.928 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73eb5a30> is not in list
2024-06-17 16:27:13.212 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.243 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.244 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:13.300 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7346a940> is not in list
2024-06-17 16:27:13.365 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.390 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.446 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73d74bb0> is not in list
2024-06-17 16:27:13.528 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.550 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.607 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73e7b9a0> is not in list
2024-06-17 16:27:13.677 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.699 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.755 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae160> is not in list
2024-06-17 16:27:13.821 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.847 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.848 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:13.902 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788f8eb0> is not in list
2024-06-17 16:27:13.972 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:13.994 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:13.995 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:27:14.053 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78619160> is not in list
2024-06-17 16:27:14.124 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:14.148 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:14.212 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae910> is not in list
2024-06-17 16:27:14.280 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:14.304 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:14.367 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373b6a0> is not in list
2024-06-17 16:27:14.430 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:14.453 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:14.516 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7827d7f0> is not in list
2024-06-17 16:27:14.582 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:14.604 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:14.669 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373b940> is not in list
2024-06-17 16:27:14.959 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:14.984 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:15.042 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b86e1fcd0> is not in list
2024-06-17 16:27:15.315 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:15.344 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:15.400 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b781ad580> is not in list
2024-06-17 16:27:15.464 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:15.489 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:15.545 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826d2e0> is not in list
2024-06-17 16:27:15.622 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:15.653 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:15.711 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73d74d60> is not in list
2024-06-17 16:27:15.779 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:15.805 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:15.866 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73c5ec40> is not in list
2024-06-17 16:27:15.929 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:15.955 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.014 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826d6a0> is not in list
2024-06-17 16:27:16.081 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:16.108 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.163 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73ed52b0> is not in list
2024-06-17 16:27:16.421 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:16.459 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.511 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373b5b0> is not in list
2024-06-17 16:27:16.575 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:16.604 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.657 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784b31f0> is not in list
2024-06-17 16:27:16.729 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:16.757 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.802 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786bd100> is not in list
2024-06-17 16:27:16.887 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:16.917 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:16.969 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73ed54f0> is not in list
2024-06-17 16:27:17.037 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.067 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.126 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c8430> is not in list
2024-06-17 16:27:17.192 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.215 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.263 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7357b8e0> is not in list
2024-06-17 16:27:17.338 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.364 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.413 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373bf40> is not in list
2024-06-17 16:27:17.484 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.510 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.557 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73e7bfa0> is not in list
2024-06-17 16:27:17.631 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.655 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.679 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:17.703 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7398cf10> is not in list
2024-06-17 16:27:17.721 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7870c400> is not in list
2024-06-17 16:27:17.782 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:17.804 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:17.835 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:17.861 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7398cf10> is not in list
2024-06-17 16:27:17.875 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78619f40> is not in list
2024-06-17 16:27:18.143 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:18.371 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:18.405 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:18.443 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7398cf10> is not in list
2024-06-17 16:27:18.453 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784002e0> is not in list
2024-06-17 16:27:18.509 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:18.533 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:18.573 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:18.611 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78e74cd0> is not in list
2024-06-17 16:27:18.628 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786194c0> is not in list
2024-06-17 16:27:18.890 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:18.969 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:18.998 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.029 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73717e50> is not in list
2024-06-17 16:27:19.038 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7827d940> is not in list
2024-06-17 16:27:19.107 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:19.131 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:19.161 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.187 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7847f3a0> is not in list
2024-06-17 16:27:19.196 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784b3cd0> is not in list
2024-06-17 16:27:19.254 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:19.276 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:19.304 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.331 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78acf190> is not in list
2024-06-17 16:27:19.341 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7357b130> is not in list
2024-06-17 16:27:19.394 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:19.418 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:19.453 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.479 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788e6a60> is not in list
2024-06-17 16:27:19.489 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73bf4a60> is not in list
2024-06-17 16:27:19.550 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:19.580 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:19.617 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.658 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73bf4a60> is not in list
2024-06-17 16:27:19.673 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7357b100> is not in list
2024-06-17 16:27:19.731 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:19.755 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:19.783 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:19.818 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7357b4f0> is not in list
2024-06-17 16:27:20.076 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.100 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:20.130 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.165 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73a09430> is not in list
2024-06-17 16:27:20.220 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.267 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.305 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7827da90> is not in list
2024-06-17 16:27:20.370 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.392 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:20.414 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.459 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78ca8340> is not in list
2024-06-17 16:27:20.521 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.549 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:20.585 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.630 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7398c3d0> is not in list
2024-06-17 16:27:20.709 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.737 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:20.761 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.799 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae520> is not in list
2024-06-17 16:27:20.859 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:20.888 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:27:20.915 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:20.960 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78401190> is not in list
2024-06-17 16:27:21.025 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.075 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.113 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73717bb0> is not in list
2024-06-17 16:27:21.174 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.230 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.309 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.361 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.443 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.497 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.599 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.658 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.742 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.798 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.842 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788effa0> is not in list
2024-06-17 16:27:21.902 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:21.953 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:21.990 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784ae520> is not in list
2024-06-17 16:27:22.064 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.118 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.156 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78cced30> is not in list
2024-06-17 16:27:22.157 | WARNING  | amhs.tc_in:path_search_new:391 - path_search_new error:list index out of range,continue this task
2024-06-17 16:27:22.217 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.269 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.325 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.441 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.508 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.566 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.637 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.691 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.742 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788ef430> is not in list
2024-06-17 16:27:22.743 | WARNING  | amhs.tc_in:path_search_new:391 - path_search_new error:list index out of range,continue this task
2024-06-17 16:27:22.802 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.856 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:22.903 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7870cc70> is not in list
2024-06-17 16:27:22.904 | WARNING  | amhs.tc_in:path_search_new:391 - path_search_new error:list index out of range,continue this task
2024-06-17 16:27:22.959 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:22.963 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78619bb0> is not in list
2024-06-17 16:27:23.007 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:23.051 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78ca8220> is not in list
2024-06-17 16:27:23.052 | WARNING  | amhs.tc_in:path_search_new:391 - path_search_new error:list index out of range,continue this task
2024-06-17 16:27:23.126 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:27:23.132 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78ca8b50> is not in list
2024-06-17 16:27:23.191 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W052-004'
2024-06-17 16:27:23.242 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788f8af0> is not in list
